Time - Voltage	Amplitude - Voltage
25.58154	0.20477
25.581544	0.204441
25.581548	0.204441
25.581552	0.206743
25.581556	0.203947
25.58156	0.205099
25.581564	0.20625
25.581568	0.205592
25.581572	0.205756
25.581576	0.205263
25.58158	0.202961
25.581584	0.207072
25.581588	0.203289
25.581592	0.206414
25.581596	0.205099
25.5816	0.206085
25.581604	0.205428
25.581608	0.202796
25.581612	0.207401
25.581616	0.203125
25.58162	0.204112
25.581624	0.203947
25.581628	0.204441
25.581632	0.204441
25.581636	0.203783
25.58164	0.206743
25.581644	0.203783
25.581648	0.205592
25.581652	0.205921
25.581656	0.205592
25.58166	0.205756
25.581664	0.205099
25.581668	0.207072
25.581672	0.204112
25.581676	0.205428
25.58168	0.206085
25.581684	0.205428
25.581688	0.205756
25.581692	0.202467
25.581696	0.207566
25.5817	0.203125
25.581704	0.204276
25.581708	0.204276
25.581712	0.204605
25.581716	0.204934
25.58172	0.202796
25.581724	0.207072
25.581728	0.203289
25.581732	0.206579
25.581736	0.205263
25.58174	0.205921
25.581744	0.205263
25.581748	0.207401
25.581752	0.204934
25.581756	0.203783
25.58176	0.205263
25.581764	0.204112
25.581768	0.20477
25.581772	0.204276
25.581776	0.207237
25.58178	0.204934
25.581784	0.203947
25.581788	0.205428
25.581792	0.203947
25.581796	0.204605
25.5818	0.204441
25.581804	0.203125
25.581808	0.20773
25.581812	0.202961
25.581816	0.205921
25.58182	0.204441
25.581824	0.204934
25.581828	0.204441
25.581832	0.204441
25.581836	0.205592
25.58184	0.20625
25.581844	0.202138
25.581848	0.204605
25.581852	0.203783
25.581856	0.20477
25.58186	0.204441
25.581864	0.202961
25.581868	0.20773
25.581872	0.203125
25.581876	0.206085
25.58188	0.204934
25.581884	0.205099
25.581888	0.20477
25.581892	0.202632
25.581896	0.20773
25.5819	0.203125
25.581904	0.20477
25.581908	0.204276
25.581912	0.204441
25.581916	0.204441
25.58192	0.202796
25.581924	0.207072
25.581928	0.203125
25.581932	0.206579
25.581936	0.205756
25.58194	0.205921
25.581944	0.205263
25.581948	0.203289
25.581952	0.206414
25.581956	0.202303
25.58196	0.20477
25.581964	0.204441
25.581968	0.205263
25.581972	0.20477
25.581976	0.206908
25.58198	0.205099
25.581984	0.203125
25.581988	0.204934
25.581992	0.204112
25.581996	0.20477
25.582	0.204441
25.582004	0.206579
25.582008	0.204112
25.582012	0.205428
25.582016	0.206085
25.58202	0.205592
25.582024	0.205263
25.582028	0.202632
25.582032	0.20773
25.582036	0.203454
25.58204	0.203947
25.582044	0.204605
25.582048	0.204934
25.582052	0.205099
25.582056	0.203289
25.58206	0.207894
25.582064	0.203125
25.582068	0.20625
25.582072	0.204605
25.582076	0.205099
25.58208	0.204934
25.582084	0.203454
25.582088	0.206414
25.582092	0.202138
25.582096	0.204605
25.5821	0.203783
25.582104	0.204934
25.582108	0.205099
25.582112	0.206743
25.582116	0.204605
25.58212	0.205099
25.582124	0.205592
25.582128	0.20477
25.582132	0.204934
25.582136	0.20477
25.58214	0.207072
25.582144	0.204276
25.582148	0.205428
25.582152	0.205921
25.582156	0.205428
25.58216	0.205756
25.582164	0.202467
25.582168	0.207894
25.582172	0.203618
25.582176	0.204441
25.58218	0.204934
25.582184	0.20477
25.582188	0.205099
25.582192	0.206579
25.582196	0.205756
25.5822	0.202632
25.582204	0.204441
25.582208	0.203618
25.582212	0.204112
25.582216	0.202467
25.58222	0.208059
25.582224	0.203454
25.582228	0.204441
25.582232	0.203618
25.582236	0.204441
25.58224	0.204441
25.582244	0.206743
25.582248	0.204605
25.582252	0.205428
25.582256	0.206085
25.58226	0.204934
25.582264	0.205099
25.582268	0.206414
25.582272	0.205756
25.582276	0.203125
25.58228	0.204934
25.582284	0.203783
25.582288	0.204276
25.582292	0.20625
25.582296	0.20477
25.5823	0.20477
25.582304	0.205756
25.582308	0.204934
25.582312	0.202467
25.582316	0.207566
25.58232	0.203618
25.582324	0.204934
25.582328	0.205263
25.582332	0.205428
25.582336	0.202961
25.58234	0.20773
25.582344	0.203125
25.582348	0.204112
25.582352	0.203618
25.582356	0.204276
25.58236	0.204276
25.582364	0.206743
25.582368	0.205099
25.582372	0.20477
25.582376	0.205592
25.58238	0.204441
25.582384	0.204605
25.582388	0.204605
25.582392	0.207237
25.582396	0.205263
25.5824	0.20477
25.582404	0.205263
25.582408	0.204441
25.582412	0.20477
25.582416	0.204605
25.58242	0.203289
25.582424	0.206743
25.582428	0.202303
25.582432	0.204934
25.582436	0.204112
25.58244	0.20477
25.582444	0.204605
25.582448	0.203454
25.582452	0.20625
25.582456	0.202467
25.58246	0.204934
25.582464	0.203783
25.582468	0.204934
25.582472	0.20477
25.582476	0.207072
25.58248	0.204934
25.582484	0.205099
25.582488	0.205921
25.582492	0.20477
25.582496	0.20477
25.5825	0.202796
25.582504	0.207894
25.582508	0.203618
25.582512	0.203947
25.582516	0.204112
25.58252	0.204112
25.582524	0.204276
25.582528	0.206579
25.582532	0.204441
25.582536	0.205428
25.58254	0.206414
25.582544	0.205099
25.582548	0.205263
25.582552	0.202796
25.582556	0.206743
25.58256	0.202632
25.582564	0.205756
25.582568	0.20477
25.582572	0.205592
25.582576	0.204934
25.58258	0.203125
25.582584	0.206414
25.582588	0.202632
25.582592	0.204934
25.582596	0.204276
25.5826	0.204934
25.582604	0.20477
25.582608	0.202796
25.582612	0.207237
25.582616	0.203618
25.58262	0.20477
25.582624	0.204934
25.582628	0.205263
25.582632	0.205428
25.582636	0.205099
25.58264	0.202961
25.582644	0.207401
25.582648	0.203125
25.582652	0.206579
25.582656	0.205099
25.58266	0.205592
25.582664	0.20477
25.582668	0.202961
25.582672	0.207401
25.582676	0.203618
25.58268	0.204605
25.582684	0.205263
25.582688	0.205099
25.582692	0.205099
25.582696	0.202303
25.5827	0.20773
25.582704	0.203618
25.582708	0.20477
25.582712	0.204605
25.582716	0.204934
25.58272	0.205099
25.582724	0.202632
25.582728	0.207566
25.582732	0.203125
25.582736	0.20477
25.58274	0.203947
25.582744	0.203783
25.582748	0.204112
25.582752	0.202632
25.582756	0.207566
25.58276	0.203125
25.582764	0.206908
25.582768	0.205428
25.582772	0.205756
25.582776	0.205099
25.58278	0.207401
25.582784	0.204934
25.582788	0.203783
25.582792	0.205263
25.582796	0.204441
25.5828	0.204441
25.582804	0.203947
25.582808	0.207072
25.582812	0.204112
25.582816	0.205263
25.58282	0.206414
25.582824	0.205263
25.582828	0.205756
25.582832	0.205263
25.582836	0.207072
25.58284	0.205099
25.582844	0.203783
25.582848	0.205099
25.582852	0.203947
25.582856	0.204605
25.58286	0.204112
25.582864	0.206579
25.582868	0.205263
25.582872	0.203454
25.582876	0.20477
25.58288	0.203947
